key,type,description,priority,estimatedDuration,draftMode,key:technician
# base
task-01,MAINTENANCE,Lorem,5,500,true,technician-01
# type variations
task-02,INSPECTION,Lorem,5,500,true,technician-01
task-03,REPAIR,Lorem,5,500,true,technician-01
task-04,SYSTEM_CHECK,Lorem,5,500,true,technician-01
# description variations
task-05,MAINTENANCE,L,5,500,true,technician-01
task-06,MAINTENANCE,Lo,5,500,true,technician-01
task-07,MAINTENANCE,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor.,5,500,true,technician-01
task-08,MAINTENANCE,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor..,5,500,true,technician-01
task-09,MAINTENANCE,โลเร็ม อิปซัม,5,500,true,technician-01
task-10,MAINTENANCE,لوريم إيبسوم,5,500,true,technician-01
task-11,MAINTENANCE,洛伦·伊普森,5,500,true,technician-01
task-12,MAINTENANCE,<marquee>Hacked</marquee>,5,500,true,technician-01
task-13,MAINTENANCE,<script>alert(‘Hacked!’);</script>,5,500,true,technician-01
task-14,MAINTENANCE,' or 'A' = 'A,5,500,true,technician-01
# priority variations
task-15,MAINTENANCE,Lorem,0,500,true,technician-01
task-16,MAINTENANCE,Lorem,1,500,true,technician-01
task-17,MAINTENANCE,Lorem,9,500,true,technician-01
task-18,MAINTENANCE,Lorem,10,500,true,technician-01
# estimatedDuration variations
task-19,MAINTENANCE,Lorem,5,0,true,technician-01
task-20,MAINTENANCE,Lorem,5,1,true,technician-01
task-21,MAINTENANCE,Lorem,5,999,true,technician-01
task-22,MAINTENANCE,Lorem,5,1000,true,technician-01
# draftMode variations
task-23,MAINTENANCE,Lorem,5,500,false,technician-01
# technician variations
task-24,MAINTENANCE,Lorem,5,500,true,technician-02
